bid_id,bidder_id,auction
2078,rmhoc,qtjyuuiz
243,tqidv,mjsdgnsx
3866,gpcnt,dosgbwco
2888,rmhoc,paollfwt
2191,zrlrw,flcxyyar
5237,exkbl,iywlwilm
3108,rmhoc,kzupngjc
3440,vtocj,dosgbwco
1451,hkvue,wdinpejd
997,tqidv,aubegqay
2097,exkbl,ckhtthmz
239,vtocj,fxxtdwma
2415,zrlrw,daxjvsys
161,gpcnt,qlvbsqtx
1343,lxmqp,qbpiacbj
222,hkvue,ouxkhvli
4423,hkvue,gknwcpkw
2507,gpcnt,vrmtxcur
2811,tqidv,qlvbsqtx
3095,exkbl,paollfwt
4736,lxmqp,elklyutg
834,gpcnt,lwjetrvf
163,lkhch,aygunfab
3428,lxmqp,hyqjumed
2903,lkhch,xdeultgu
2574,lxmqp,jviofomd
3863,butaj,vrmtxcur
4230,zrlrw,imiudkzw
604,lkhch,frnmfhxn
1841,lkhch,rqtgdewl
849,rmhoc,mdoeaxkr
1658,exkbl,dzkqxbfx
4632,vtocj,oloopafv
3366,hkvue,mstczaau
4375,rmhoc,tewwamau
1173,lxmqp,cboworii
1791,lxmqp,gfssvkgt
2859,tqidv,nvslxuqm
2998,hkvue,orfqtrlp
1031,gpcnt,daxjvsys
1845,hkvue,rzzqpnhh
2963,zrlrw,qbpiacbj
3694,rmhoc,osdrxkza
169,exkbl,ylithcxo
3768,lkhch,zelqwzkc
3560,tqidv,fxxtdwma
3566,lkhch,qjwnwtfb
5305,zrlrw,vrgkvkju
1604,hkvue,flcxyyar
4894,vtocj,paollfwt
3240,zrlrw,rvythxwz
5151,lkhch,cboworii
1958,vtocj,oivwtrly
1669,lxmqp,fgodxfai
2643,vtocj,wtzohsug
3726,tqidv,aygunfab
4167,lxmqp,luzloayk
2115,gpcnt,zercyeht
2395,gpcnt,eqrpepte
2370,gpcnt,luzloayk
792,rmhoc,kzupngjc
2614,exkbl,eqrpepte
1587,tqidv,vdetdisr
4037,gpcnt,mjsdgnsx
3187,lxmqp,zdnvczxc
1407,gpcnt,bzvsnndf
2209,tqidv,taloqhtq
4211,exkbl,xyizzjil
5219,vtocj,egmcsojs
1479,butaj,wugzindc
4611,gpcnt,giaomgqz
4971,lkhch,cboworii
5242,zrlrw,frnmfhxn
2876,zrlrw,mjsdgnsx
21,zrlrw,bzvsnndf
3171,tqidv,geweclbi
3593,hkvue,bwjpxdsl
4512,vtocj,frnmfhxn
3398,hkvue,zdnvczxc
2197,zrlrw,vdetdisr
2275,vtocj,zbyiwudb
2330,zrlrw,ezsooppy
3895,exkbl,giaomgqz
2287,gpcnt,zelqwzkc
1611,vtocj,zbyiwudb
50,vtocj,dosgbwco
3945,rmhoc,rqrqhncp
4797,rmhoc,ynrlvwgx
461,vtocj,imiudkzw
593,hkvue,zbyiwudb
2487,tqidv,zercyeht
3251,vtocj,orfqtrlp
2860,lxmqp,rqrqhncp
2014,exkbl,sqkyarba
2848,lkhch,wugzindc
1153,lkhch,zelqwzkc
4066,tqidv,zelqwzkc
5326,gpcnt,hyqjumed
2609,lxmqp,dosgbwco
3835,hkvue,inhlejlx
3853,butaj,dzkqxbfx
5265,tqidv,anbdjgmo
5190,gpcnt,imrwlzrb
3244,lxmqp,iywlwilm
4281,exkbl,jviofomd
4917,zrlrw,pmekmcve
367,exkbl,qlvbsqtx
28,zrlrw,xdeultgu
3446,gpcnt,owyjtuqe
2804,vtocj,paollfwt
1202,gpcnt,wtzohsug
1400,rmhoc,egmcsojs
5092,butaj,rzzqpnhh
4158,rmhoc,flcxyyar
5194,rmhoc,vrmtxcur
756,hkvue,vrmtxcur
2058,exkbl,hitozvro
1976,vtocj,wdinpejd
3434,lxmqp,vrgkvkju
4463,hkvue,hrhmjowt
901,lkhch,oivwtrly
2012,gpcnt,egmcsojs
4718,lkhch,sqkyarba
547,butaj,agyfndem
1414,lxmqp,rvythxwz
3068,lkhch,paollfwt
1364,butaj,dosgbwco
3123,rmhoc,imiudkzw
5003,hkvue,cboworii
4625,exkbl,ezsooppy
3179,tqidv,mdaipezn
1968,zrlrw,wdinpejd
5074,vtocj,giaomgqz
429,exkbl,hlbqrfux
326,lkhch,qjwnwtfb
4751,exkbl,xyizzjil
2966,gpcnt,osdrxkza
3611,hkvue,gknwcpkw
747,vtocj,yrdrezou
3749,tqidv,vrmtxcur
3545,rmhoc,gfssvkgt
2870,vtocj,jviofomd
500,hkvue,mstczaau
1183,exkbl,nvslxuqm
820,lxmqp,wtzohsug
3231,vtocj,hyqjumed
3550,butaj,mstczaau
903,exkbl,xzqkoeyp
3222,gpcnt,wugzindc
291,gpcnt,orfqtrlp
1370,exkbl,dtgcjgoa
732,zrlrw,qbpiacbj
1779,vtocj,oivwtrly
578,lkhch,cboworii
1576,tqidv,eqrpepte
1251,tqidv,tabelgmj
5454,zrlrw,pmekmcve
3830,rmhoc,mstczaau
4849,zrlrw,zhwqnpxl
184,rmhoc,ezwbukzw
2791,zrlrw,aygunfab
4939,rmhoc,qjwnwtfb
4690,rmhoc,xyizzjil
4863,zrlrw,giaomgqz
5274,butaj,jviofomd
3271,lxmqp,ylithcxo
1212,zrlrw,hrhmjowt
2352,zrlrw,ynrlvwgx
1752,rmhoc,iywlwilm
3625,rmhoc,fxxtdwma
2650,butaj,vdetdisr
83,lxmqp,eqrpepte
4664,exkbl,zhwqnpxl
4262,rmhoc,orfqtrlp
395,exkbl,jyemgkum
5218,gpcnt,wtzohsug
3300,lxmqp,qbpiacbj
1888,exkbl,giaomgqz
1412,zrlrw,zelqwzkc
4865,zrlrw,xnypjovn
2145,lkhch,lckvptax
4475,vtocj,xznlbofn
2953,tqidv,qtjyuuiz
1879,rmhoc,yrdrezou
1583,gpcnt,mstczaau
40,zrlrw,taloqhtq
1962,gpcnt,imrwlzrb
2238,tqidv,aubegqay
2669,gpcnt,zbyiwudb
5072,exkbl,ixbsntvw
419,exkbl,hitozvro
5209,butaj,flcxyyar
3207,tqidv,mjsdgnsx
3986,lkhch,eqrpepte
5366,rmhoc,tewwamau
3531,lxmqp,zhwqnpxl
4246,lxmqp,fxxtdwma
4363,rmhoc,vrmtxcur
93,lkhch,tewwamau
4446,butaj,erwpgexf
485,lkhch,paollfwt
5387,butaj,qjwnwtfb
1641,lxmqp,frnmfhxn
5011,lkhch,ixbsntvw
1192,rmhoc,zbyiwudb
1355,lxmqp,luzloayk
2043,lxmqp,rzzqpnhh
131,lxmqp,iywlwilm
1880,lxmqp,oivwtrly
4058,lxmqp,pfernluz
1770,butaj,tabelgmj
2378,rmhoc,mdoeaxkr
4531,lxmqp,hrtfesmu
2753,vtocj,hitozvro
2282,rmhoc,hyqjumed
2655,zrlrw,mjsdgnsx
4686,butaj,xzqkoeyp
1398,hkvue,taloqhtq
3583,exkbl,hyqjumed
316,lkhch,giaomgqz
411,tqidv,oivwtrly
4116,vtocj,geweclbi
475,lkhch,dzkqxbfx
4693,hkvue,zcymnjbc
844,butaj,xzqkoeyp
2181,lxmqp,jviofomd
5449,vtocj,aubegqay
5335,butaj,mdaipezn
3167,hkvue,rqtgdewl
589,zrlrw,bwjpxdsl
3275,exkbl,kzupngjc
3996,exkbl,anbdjgmo
4497,rmhoc,ckhtthmz
3286,butaj,tabelgmj
2630,vtocj,orfqtrlp
3149,butaj,qjwnwtfb
4120,zrlrw,lfhfqxik
4571,rmhoc,frnmfhxn
3297,tqidv,dzkqxbfx
2724,exkbl,imiudkzw
940,tqidv,anbdjgmo
3053,exkbl,wtzohsug
5317,butaj,xnximdix
553,rmhoc,zdnvczxc
797,butaj,oloopafv
2440,vtocj,egmcsojs
4483,gpcnt,pqjmuclj
1986,lkhch,inhlejlx
649,rmhoc,xzqkoeyp
204,lkhch,sqkyarba
1885,zrlrw,oloopafv
1366,rmhoc,pmekmcve
4698,lkhch,tewwamau
3361,rmhoc,nvslxuqm
3598,gpcnt,rvythxwz
4426,tqidv,qtjyuuiz
2562,lkhch,qjwnwtfb
1244,tqidv,mdoeaxkr
5124,gpcnt,lckvptax
3435,rmhoc,xznlbofn
3902,hkvue,mjsdgnsx
1136,zrlrw,daxjvsys
5046,zrlrw,zercyeht
4860,rmhoc,ouxkhvli
4640,butaj,lckvptax
3743,rmhoc,zelqwzkc
513,vtocj,pqjmuclj
999,vtocj,fxxtdwma
1539,butaj,xznlbofn
0,hkvue,erwpgexf
871,hkvue,rzzqpnhh
2088,vtocj,aygunfab
1771,tqidv,daxjvsys
2740,hkvue,dzkqxbfx
5109,butaj,mjsdgnsx
4031,lkhch,gjqpyqdr
1323,hkvue,luzloayk
1659,exkbl,ecbxhmdt
3787,tqidv,xnximdix
5252,gpcnt,gfssvkgt
5404,vtocj,hrtfesmu
1493,zrlrw,gknwcpkw
1452,tqidv,gknwcpkw
4962,rmhoc,hrhmjowt
5066,butaj,bzvsnndf
4194,exkbl,gjqpyqdr
5004,zrlrw,nqvmplxs
2827,hkvue,ecbxhmdt
900,tqidv,flcxyyar
3752,tqidv,mstczaau
571,tqidv,xnximdix
5020,vtocj,vrgkvkju
3711,tqidv,eqrpepte
2661,gpcnt,rqtgdewl
1872,gpcnt,qbpiacbj
2405,vtocj,erwpgexf
4150,gpcnt,zbyiwudb
37,lxmqp,hrhmjowt
4125,zrlrw,gjqpyqdr
3933,tqidv,rvythxwz
4786,gpcnt,xnypjovn
4517,lxmqp,imrwlzrb
4961,rmhoc,dtgcjgoa
2430,exkbl,bthurltf
1021,tqidv,osdrxkza
431,zrlrw,lfhfqxik
3482,gpcnt,qbpiacbj
5181,vtocj,ixbsntvw
669,hkvue,agyfndem
2591,lkhch,dosgbwco
3379,lxmqp,zelqwzkc
2537,lkhch,gfssvkgt
965,hkvue,fgodxfai
263,gpcnt,yrdrezou
3736,hkvue,wugzindc
1308,exkbl,zercyeht
3432,butaj,nqvmplxs
2838,lkhch,eqrpepte
301,zrlrw,geweclbi
421,tqidv,elklyutg
3413,gpcnt,wdinpejd
443,exkbl,tabelgmj
3980,butaj,anbdjgmo
283,vtocj,vrgkvkju
4583,lkhch,tewwamau
2548,hkvue,elklyutg
2461,hkvue,pfernluz
3868,hkvue,giaomgqz
4328,gpcnt,egmcsojs
1562,zrlrw,mstczaau
1215,gpcnt,ouxkhvli
4239,exkbl,anbdjgmo
775,hkvue,giaomgqz
3505,gpcnt,ixbsntvw
3993,vtocj,owyjtuqe
2314,zrlrw,hrhmjowt
469,tqidv,fgodxfai
5429,gpcnt,xdeultgu
4376,butaj,xyizzjil
4406,gpcnt,lfhfqxik
4462,lxmqp,tewwamau
1635,gpcnt,rqrqhncp
5441,vtocj,vdetdisr
2110,vtocj,mdaipezn
915,lxmqp,zhwqnpxl
1078,hkvue,ixbsntvw
4709,lxmqp,aygunfab
2920,zrlrw,vdetdisr
2105,butaj,fxxtdwma
1275,rmhoc,lckvptax
379,gpcnt,wdinpejd
3387,vtocj,flcxyyar
995,exkbl,jviofomd
358,butaj,bwjpxdsl
1157,hkvue,xhqmcidh
1292,hkvue,orfqtrlp
4347,zrlrw,wdinpejd
5207,gpcnt,qjwnwtfb
2518,tqidv,hitozvro
145,hkvue,pfernluz
3418,zrlrw,zercyeht
1108,rmhoc,qjwnwtfb
310,butaj,oloopafv
639,rmhoc,pfernluz
1610,rmhoc,mstczaau
2208,lxmqp,xhqmcidh
5373,gpcnt,orfqtrlp
3681,butaj,giaomgqz
4921,gpcnt,rzzqpnhh
2674,gpcnt,mjsdgnsx
5312,exkbl,lfhfqxik
5413,exkbl,agyfndem
2586,lkhch,cboworii
3650,lkhch,lfhfqxik
5257,exkbl,xzqkoeyp
5297,lkhch,zcymnjbc
5196,butaj,bwjpxdsl
683,zrlrw,wkzsbtem
1949,rmhoc,mstczaau
4486,vtocj,luzloayk
2699,zrlrw,nzpgwmxz
4407,zrlrw,mstczaau
3634,lxmqp,osdrxkza
2070,lxmqp,pqjmuclj
1974,tqidv,zercyeht
3214,hkvue,vdetdisr
4719,lkhch,dosgbwco
4900,rmhoc,erwpgexf
1670,exkbl,xymwpqrc
2978,rmhoc,zcymnjbc
3258,butaj,wtzohsug
3487,butaj,ynrlvwgx
975,tqidv,aygunfab
1465,rmhoc,xzqkoeyp
3032,butaj,pfernluz
700,butaj,ckhtthmz
4559,vtocj,dosgbwco
1941,lxmqp,mdoeaxkr
1995,rmhoc,ixbsntvw
4225,rmhoc,taloqhtq
2199,gpcnt,wugzindc
3422,hkvue,owyjtuqe
1383,rmhoc,jyemgkum
942,butaj,bwjpxdsl
3407,hkvue,xdeultgu
4523,gpcnt,taloqhtq
1703,hkvue,xnypjovn
2473,rmhoc,hlbqrfux
213,tqidv,agyfndem
3762,lkhch,yrdrezou
3021,tqidv,zbyiwudb
3525,gpcnt,pmekmcve
3396,zrlrw,aubegqay
2800,exkbl,mjsdgnsx
4810,lxmqp,cboworii
3208,gpcnt,xnximdix
1240,gpcnt,nvslxuqm
3278,gpcnt,oivwtrly
4931,rmhoc,ezsooppy
2718,vtocj,pqjmuclj
2690,exkbl,ixbsntvw
1150,lxmqp,ouxkhvli
1890,hkvue,nvslxuqm
3046,tqidv,rvythxwz
1243,gpcnt,vrmtxcur
704,exkbl,pqjmuclj
191,exkbl,oloopafv
2295,zrlrw,qwvudxya
3921,lkhch,daxjvsys
1163,gpcnt,fxxtdwma
993,zrlrw,dtgcjgoa
4875,butaj,flcxyyar
5460,zrlrw,zcymnjbc
868,vtocj,wugzindc
1223,exkbl,bwjpxdsl
4550,exkbl,tabelgmj
3821,rmhoc,zelqwzkc
1656,hkvue,imrwlzrb
4898,gpcnt,gjqpyqdr
2542,butaj,vrgkvkju
2738,butaj,hrtfesmu
3420,rmhoc,zhwqnpxl
3137,hkvue,qtjyuuiz
5407,rmhoc,ouxkhvli
4093,gpcnt,imiudkzw
305,lkhch,xymwpqrc
2490,hkvue,ouxkhvli
4951,lkhch,eqrpepte
1232,rmhoc,gjqpyqdr
2554,hkvue,xnximdix
3721,lkhch,hrtfesmu
208,vtocj,bzvsnndf
680,zrlrw,lfhfqxik
2159,tqidv,rvythxwz
4826,zrlrw,fxxtdwma
508,exkbl,lwjetrvf
2448,zrlrw,xhqmcidh
1638,tqidv,geweclbi
1858,hkvue,ecbxhmdt
2386,zrlrw,xznlbofn
5165,vtocj,xnximdix
3254,exkbl,dtgcjgoa
3022,vtocj,rvythxwz
3894,gpcnt,ylithcxo
2730,gpcnt,xyizzjil
5204,zrlrw,ezsooppy
522,lxmqp,pfernluz
4881,exkbl,qwvudxya
2784,exkbl,qlvbsqtx
3782,rmhoc,iywlwilm
4656,vtocj,fgodxfai
1696,butaj,inhlejlx
3405,lkhch,geweclbi
1267,gpcnt,owyjtuqe
1897,tqidv,lckvptax
4890,hkvue,lckvptax
1336,zrlrw,hrtfesmu
675,lkhch,xnypjovn
3983,tqidv,dzkqxbfx
2213,butaj,rqrqhncp
4440,rmhoc,ezwbukzw
176,lxmqp,luzloayk
4841,butaj,mstczaau
5102,lkhch,zdnvczxc
4489,tqidv,zdnvczxc
3018,gpcnt,vrgkvkju
373,gpcnt,qwvudxya
2344,exkbl,jyemgkum
3518,gpcnt,hitozvro
3109,rmhoc,inhlejlx
2264,zrlrw,tewwamau
1423,tqidv,ecbxhmdt
1734,butaj,rqtgdewl
1761,hkvue,fgodxfai
2745,exkbl,xdeultgu
1646,rmhoc,wkzsbtem
4253,exkbl,nzpgwmxz
3325,lxmqp,lwjetrvf
2526,lkhch,egmcsojs
1628,rmhoc,qtjyuuiz
3092,zrlrw,aubegqay
4048,vtocj,zercyeht
3691,tqidv,hyqjumed
4987,gpcnt,imrwlzrb
3541,hkvue,mdoeaxkr
2498,exkbl,tabelgmj
253,butaj,wkzsbtem
135,hkvue,orfqtrlp
2423,gpcnt,dtgcjgoa
3069,exkbl,jviofomd
389,lkhch,nvslxuqm
3592,rmhoc,qwvudxya
531,hkvue,mjsdgnsx
1485,lxmqp,zercyeht
121,vtocj,ckhtthmz
4455,hkvue,ylithcxo
3811,lkhch,lfhfqxik
4277,lxmqp,hyqjumed
2895,vtocj,ezwbukzw
3573,gpcnt,xnximdix
2984,tqidv,flcxyyar
688,tqidv,pfernluz
615,hkvue,dtgcjgoa
3197,rmhoc,zbyiwudb
267,lxmqp,zcymnjbc
2354,rmhoc,xymwpqrc
3738,lkhch,pfernluz
985,exkbl,elklyutg
4760,gpcnt,elklyutg
1596,tqidv,hrtfesmu
2636,zrlrw,pqjmuclj
4287,lxmqp,wugzindc
1146,gpcnt,gjqpyqdr
2410,hkvue,pfernluz
2807,lxmqp,jviofomd
2259,vtocj,ynrlvwgx
860,gpcnt,fxxtdwma
3659,gpcnt,xnypjovn
109,rmhoc,geweclbi
2153,rmhoc,egmcsojs
138,gpcnt,pqjmuclj
2456,lxmqp,zercyeht
2511,exkbl,lckvptax
5324,exkbl,zdnvczxc
4577,zrlrw,xnypjovn
5028,lkhch,elklyutg
3191,hkvue,hrhmjowt
1300,gpcnt,agyfndem
4727,rmhoc,hyqjumed
5345,exkbl,rqtgdewl
2746,vtocj,qtjyuuiz
580,vtocj,vdetdisr
4176,rmhoc,jyemgkum
197,lkhch,bwjpxdsl
4097,zrlrw,pmekmcve
4356,exkbl,bthurltf
1911,butaj,zercyeht
1520,butaj,nvslxuqm
3801,tqidv,ixbsntvw
1495,gpcnt,fgodxfai
1827,hkvue,iywlwilm
2624,zrlrw,lwjetrvf
2234,rmhoc,qbpiacbj
5291,vtocj,cboworii
856,butaj,bthurltf
1390,gpcnt,geweclbi
1105,vtocj,anbdjgmo
1717,gpcnt,lfhfqxik
5084,zrlrw,yrdrezou
4106,tqidv,rzzqpnhh
3100,vtocj,oloopafv
2665,tqidv,mjsdgnsx
611,lkhch,lfhfqxik
1380,zrlrw,tewwamau
53,rmhoc,yrdrezou
653,exkbl,giaomgqz
61,hkvue,fgodxfai
1085,gpcnt,zcymnjbc
5021,hkvue,gknwcpkw
5052,butaj,pqjmuclj
543,butaj,bthurltf
1690,zrlrw,oloopafv
4679,tqidv,wtzohsug
4674,exkbl,zelqwzkc
1972,butaj,owyjtuqe
3710,zrlrw,oivwtrly
5061,vtocj,agyfndem
3298,zrlrw,lwjetrvf
1310,gpcnt,xyizzjil
4638,exkbl,orfqtrlp
4969,lxmqp,ezwbukzw
4338,zrlrw,xznlbofn
5019,vtocj,pfernluz
2077,lxmqp,imiudkzw
5389,tqidv,ixbsntvw
276,gpcnt,wdinpejd
2973,lkhch,ezwbukzw
3168,vtocj,osdrxkza
335,vtocj,xhqmcidh
4767,hkvue,mdoeaxkr
81,exkbl,xdeultgu
154,butaj,frnmfhxn
2992,lkhch,oloopafv
2847,vtocj,ezwbukzw
1620,zrlrw,rqtgdewl
2044,exkbl,agyfndem
1784,gpcnt,qbpiacbj
1005,tqidv,taloqhtq
8,exkbl,gfssvkgt
2272,tqidv,aubegqay
5233,rmhoc,kzupngjc
2124,butaj,ouxkhvli
1831,zrlrw,geweclbi
3643,gpcnt,jyemgkum
3969,hkvue,pmekmcve
624,vtocj,wtzohsug
3472,lxmqp,jviofomd
5227,zrlrw,qwvudxya
3093,exkbl,jviofomd
5169,zrlrw,wdinpejd
1433,lkhch,tewwamau
2251,vtocj,xnypjovn
4006,exkbl,ezsooppy
4490,hkvue,zelqwzkc
3897,rmhoc,gfssvkgt
3409,lkhch,agyfndem
4444,butaj,wtzohsug
433,zrlrw,xzqkoeyp
2341,rmhoc,dzkqxbfx
3961,butaj,xnximdix
1035,hkvue,xymwpqrc
2061,butaj,aygunfab
2225,rmhoc,lckvptax
3576,tqidv,eqrpepte
587,lxmqp,zhwqnpxl
2457,gpcnt,gjqpyqdr
5088,butaj,hlbqrfux
5283,zrlrw,gjqpyqdr
1571,gpcnt,xymwpqrc
3699,tqidv,lckvptax
2863,hkvue,xhqmcidh
3930,tqidv,owyjtuqe
1070,rmhoc,gfssvkgt
1796,butaj,wdinpejd
71,zrlrw,inhlejlx
2323,lxmqp,taloqhtq
2023,lkhch,pqjmuclj
1419,lxmqp,xyizzjil
2564,rmhoc,ezsooppy
827,lkhch,qtjyuuiz
5457,hkvue,bwjpxdsl
4305,exkbl,elklyutg
2868,hkvue,hlbqrfux
364,gpcnt,rzzqpnhh
2704,lkhch,osdrxkza
1060,gpcnt,bwjpxdsl
4432,vtocj,zbyiwudb
1912,butaj,rzzqpnhh
3778,tqidv,geweclbi
1500,lxmqp,xznlbofn
1349,lkhch,xyizzjil
52,hkvue,qbpiacbj
782,zrlrw,lwjetrvf
3809,tqidv,oivwtrly
632,gpcnt,daxjvsys
3979,gpcnt,zbyiwudb
4143,rmhoc,pmekmcve
5477,exkbl,egmcsojs
5159,butaj,vrgkvkju
4075,lkhch,qwvudxya
4567,tqidv,osdrxkza
11,hkvue,qlvbsqtx
2172,butaj,nvslxuqm
3011,exkbl,xhqmcidh
1316,gpcnt,xyizzjil
4651,tqidv,jviofomd
438,rmhoc,bzvsnndf
2218,rmhoc,ckhtthmz
1347,zrlrw,orfqtrlp
1126,lxmqp,rqtgdewl
1742,hkvue,kzupngjc
230,vtocj,wtzohsug
2468,tqidv,bzvsnndf
4355,hkvue,hyqjumed
1555,tqidv,xzqkoeyp
1529,hkvue,eqrpepte
1862,zrlrw,ezwbukzw
2680,zrlrw,ouxkhvli
1678,vtocj,mjsdgnsx
